Slide Number,Title,Word Count,Character Count
1,"CONFIDENTIEL",1,12
2,"Ce document a été préparé par alecia à titre confidentiel et à l’usage exclusif des dirigeants-actionnaires (ci-après les « Dirigeants-Actionnaires ») de la société [NOM DE LA SOCIETE] (ci-après la « Société »).Les destinataires du présent document s’engagent à ne pas l’utiliser à d’autres fins que le choix du conseil pour l’opération envisagée (ci-après l’« Opération »).Les informations contenues dans ce document proviennent essentiellement de sources d’informations publiques ou communiquées par les Dirigeants-Actionnaires de la Société. Elles n’ont pas fait l’objet devérifications de la part d’alecia et sont communiquées à titre purement indicatif.Les hypothèses et réflexions prescrites dans ce document sont faites uniquement à titre de support de discussion et n’ont aucune valeur contractuelle, celles-ci devant faire l’objet d’une analyseapprofondie.La responsabilité d’alecia, de ses actionnaires, de ses dirigeants et de ses employés ne saurait être engagée de quelque manière que ce soit, quelles que soient les circonstances, directementou indirectement, par l’exactitude et/ou l’exhaustivité des informations contenues dans le présent document.Aucune information ne peut être interprétée comme un engagement formel ou une quelconque garantie de résultat pour le futur.Ce document est remis à titre confidentiel. De ce fait, il ne peut être reproduit ou communiqué à un tiers sans l’accord préalable d’alecia. Les destinataires du présent document s’engagent à ne pas l’utiliser à d’autres fins que l’Opération concernée.",217,1559
3,"Notre compréhension du contexte et de votre cahier des charges",10,62
4,"Compréhension du contexte",3,25
5,"Présentation d’alecia",2,21
6,"GC",1,2
7,"Notre expertise",2,15
8,"Notre équipe structurée et expérimentée",5,39
9,"Un tandem d’associés complémentaires dédié à vos projets",8,56
10,"10 années d’expérience en fusion-acquisition chez Eponyme Partners, Equideals, Raphaël Financial Advisory et Smart Partners
Une trentaine d’opérations réalisées
Expérience en fonds d’investissement au sein d’Apax Partners
Diplômé de l’EDHEC",27,240
11,"Vos points de contact alecia",5,28
12,"Vos points de contact alecia",5,28
13,"Trackrecord complet – Opérations en cours 1/2",7,45
14,"Trackrecord complet – Opérations en cours 2/2",7,45
15,"Trackrecord complet – Cession 1/4",5,33
16,"Trackrecord complet – Cession 2/4",5,33
17,"Trackrecord complet – Cession 3/4",5,33
18,"Trackrecord complet – Cession 4/4",5,33
19,"Trackrecord complet – Levée de fonds 1/4",7,40
20,"Trackrecord complet – Levée de fonds 2/4",7,40
21,"Trackrecord complet – Levée de fonds 3/4",7,40
22,"Trackrecord complet – Levée de fonds 4/4",7,40
23,"Trackrecord complet – Acquisition",4,33
24,"Compréhension du contexte",3,25
25,"XXX",1,3
26,"Données financières agrégées du Groupe XXX",6,42
27,"Compréhension du contexte",3,25
28,"Méthodologie de valorisation",3,28
29,"Evaluation de l’entreprise sur la base de la valeur économique de ses actifs (stocks, fond de commerce, mobilier, etc.)
Repose sur la réévaluation des postes du bilan afin de refléter leur valeur de marché, et peut inclure des ajustements pour tenir compte d’éléments hors bilan ou de passifs latents",48,300
30,"De nombreuses opérations sur un secteur en pleine consolidation (1/x)",10,69
31,"De nombreuses opérations sur un secteur en pleine consolidation (2/x)",10,69
32,"De nombreuses opérations sur un secteur en pleine consolidation (x/x)",10,69
33,"Valorisations par secteur en France (selon le rapport Fusac du S1 2025)",12,71
34,"Tendances du marché français des fusions-acquisitions",6,53
35,"Tendances du marché français des fusions-acquisitions",6,53
36,"Approche de valorisation par la méthode des multiples boursiers",9,63
37,"Approche patrimoniale",2,21
38,"Une veille terrain auprès de différents acteurs",7,47
39,"Synthèse de valorisation",3,24
40,"Les leviers clés du processus permettant de maximiser les conditions de l’opération",12,83
41,"Les leviers clés du processus permettant de maximiser les conditions de l’opération",12,83
42,"Profil du dirigeant et rôle dans le quotidien du groupe
Organisation et gouvernance
Durée et modalités d’accompagnement du dirigeant
Transmission des relations client",20,166
43,"Éléments clés pouvant impacter la valorisation du Groupe XXXX",9,61
44,"Compréhension du contexte",3,25
45,"Cession",1,7
46,"Objectifs de l’opération de cession",5,35
47,"XXX",1,3
48,"Ci-dessous seules quelques contreparties sont présentées
De nombreux groupes seraient susceptibles de se présenter dans le cadre d’une acquisition",18,146
49,"LBO",1,3
50,"Mécanisme d’un LBO",3,18
51,"Un montage LBO conduit à un effet de levier financier",10,53
52,"Un montage LBO présente différents avantages",6,44
53,"Présentation de l’opération – Montage LBO",6,41
54,"L’entrée au capital de managers et cash-out, le « LMBO »",9,56
55,"Le Management Buy-Out : avec un fonds vs sponsorless",9,52
56,"Quelques investisseurs potentiels",3,33
57,"Dual track (ou plus)",4,20
58,"Deux opérations envisageables",3,29
59,"2 types d’opérations possibles",4,30
60,"Les scénarios potentiels",3,24
61,"Compréhension du contexte",3,25
62,"Général",1,7
63,"Un processus structuré permettant d’optimiser les paramètres de l’opération",9,75
64,"Préparation avec alecia de l’equity story
Préparation du plan d’affaires
Validation du schéma final de l’opération
Support à la collecte d’informations pour la rédaction du Memorandum d’Information
Réponses aux questions / Visite de sites
Participation aux Management Presentations",33,282
65,"Différents niveaux d’accompagnement adaptées à vos besoins",7,58
66,"Base de données financière complète (Excel)
Rapport de type Executive Summary (une dizaine de pages)",14,100
67,"Avantages
Supervision du processus de due diligence par le vendeur : accès à tous les résultats et « déminage » des problématiques en amont
Processus linéaire : simplification et accélération du processus (moins d’interruption) 
Création de valeur tout au long du processus : nombre de candidats plus important, augmentation du pouvoir de négociation du vendeur et analyse d’une rentabilité « normative »",56,404
68,"ARSENE TAXAND : une expertise fiscale complète au service des opérations M&A",12,76
69,"Cession",1,7
70,"Notre stratégie pour optimiser votre Opération",6,46
71,"Notre stratégie pour optimiser votre Opération",6,46
72,"LBO",1,3
73,"Vivre avec un fonds d’investissement",5,36
74,"Compréhension du contexte",3,25
75,"Notre proposition tarifaire",3,27
76,"Principaux termes et conditions de l’engagement",6,47
77,"Compréhension du contexte",3,25
79,"LOGOS FONDS D’INVESTISSEMENT",3,28
80,"Fonds bancaires",2,15
81,"Fonds entrepreneurs",2,19
82,"Fonds impact",2,12
83,"Fonds impact",2,12
84,"Fonds généralistes",2,18
85,"Fonds généralistes",2,18
86,"Fonds généralistes",2,18
87,"Fonds généralistes",2,18
88,"Fonds généralistes",2,18
89,"Fonds agroalimentaires",2,22
90,"Fonds growth",2,12
91,"Fonds VC",2,8
92,"Fonds VC",2,8
93,"Fonds BtoB",2,10
94,"Fonds BTP",2,9
95,"Fonds Santé",2,11
96,"Fonds autres secteurs",3,21
112,"Fonds Multirégional",2,19
113,"Family offices",2,14
114,"Fonds d’investissement",2,22
115,"Charte graphique",2,16
